first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_3;ALG_catch24_kmeans_5;ALG_catch24_kmeans_7;ALG_naive_kmeans_2;ALG_naive_kmeans_3;ALG_naive_kmeans_5;ALG_naive_kmeans_4;ALG_catch24_kmeans_2_r;ALG_catch24_kmeans_3_r;ALG_catch24_kmeans_5_r;ALG_catch24_kmeans_7_r
2019-02-17 13:07:30+00:00;2019-02-17 15:09:30+00:00;0 days 02:02:00;slice(Timestamp('2019-02-17 13:07:30+0000', tz='UTC'), Timestamp('2019-02-17 15:09:30+0000', tz='UTC'), None);1;2;4;0;0;0;3;3;1;2;4;0
2019-02-17 16:06:00+00:00;2019-02-17 16:47:00+00:00;0 days 00:41:00;slice(Timestamp('2019-02-17 16:06:00+0000', tz='UTC'), Timestamp('2019-02-17 16:47:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-17 18:47:30+00:00;2019-02-17 19:07:00+00:00;0 days 00:19:30;slice(Timestamp('2019-02-17 18:47:30+0000', tz='UTC'), Timestamp('2019-02-17 19:07:00+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-17 19:26:00+00:00;2019-02-17 19:57:00+00:00;0 days 00:31:00;slice(Timestamp('2019-02-17 19:26:00+0000', tz='UTC'), Timestamp('2019-02-17 19:57:00+0000', tz='UTC'), None);1;1;1;1;0;0;0;0;1;1;1;1
2019-02-17 20:52:30+00:00;2019-02-17 21:14:30+00:00;0 days 00:22:00;slice(Timestamp('2019-02-17 20:52:30+0000', tz='UTC'), Timestamp('2019-02-17 21:14:30+0000', tz='UTC'), None);1;2;4;0;0;0;0;0;1;2;4;0
2019-02-17 22:50:30+00:00;2019-02-17 23:05:30+00:00;0 days 00:15:00;slice(Timestamp('2019-02-17 22:50:30+0000', tz='UTC'), Timestamp('2019-02-17 23:05:30+0000', tz='UTC'), None);0;2;3;2;0;0;0;0;0;2;3;2
2019-02-17 23:41:30+00:00;2019-02-18 00:08:00+00:00;0 days 00:26:30;slice(Timestamp('2019-02-17 23:41:30+0000', tz='UTC'), Timestamp('2019-02-18 00:08:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-18 01:47:30+00:00;2019-02-18 02:13:00+00:00;0 days 00:25:30;slice(Timestamp('2019-02-18 01:47:30+0000', tz='UTC'), Timestamp('2019-02-18 02:13:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-18 03:55:00+00:00;2019-02-18 04:20:00+00:00;0 days 00:25:00;slice(Timestamp('2019-02-18 03:55:00+0000', tz='UTC'), Timestamp('2019-02-18 04:20:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-18 05:59:30+00:00;2019-02-18 06:24:30+00:00;0 days 00:25:00;slice(Timestamp('2019-02-18 05:59:30+0000', tz='UTC'), Timestamp('2019-02-18 06:24:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
